game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
28600755,83,4,30,9,24,7,111,101,3,26,22,26,13,105,1
20700211,86,20,9,9,28,6,103,78,21,32,9,13,7,91,22
20900139,78,8,28,11,18,3,94,81,20,21,10,19,18,88,24
20900145,78,24,27,12,18,4,101,88,24,14,11,18,11,100,24
20300954,85,21,28,9,16,8,90,97,14,26,20,23,12,113,18
21300983,81,32,29,6,25,5,97,83,25,25,12,27,21,92,28
29600966,87,19,23,19,16,3,99,83,22,22,13,24,14,104,11
20700760,83,17,22,16,30,8,92,85,14,28,13,21,11,88,22
20500512,77,16,20,10,22,5,99,72,11,23,7,25,14,98,20
41000173,78,23,45,10,18,6,94,80,21,43,11,17,11,97,25
21301054,79,27,16,6,31,4,113,88,33,18,12,22,14,91,28
20800818,76,19,30,15,23,2,103,75,26,30,11,17,19,111,23
29000578,91,9,23,21,31,6,116,93,12,35,15,16,12,103,5
21100586,88,18,17,9,27,3,104,72,15,23,16,12,28,86,26
21300009,76,25,24,14,17,6,96,90,10,20,12,14,8,83,28
20200782,79,19,17,8,29,2,105,83,31,22,11,18,14,83,17
29200255,85,12,37,14,27,9,119,99,13,34,16,23,10,107,7
21601096,84,21,17,1,19,3,81,89,28,18,12,24,13,97,31
21600406,81,19,30,9,24,4,117,87,24,24,12,28,15,110,31
28700773,102,10,35,19,28,6,105,80,1,25,11,31,20,107,2
29501098,80,13,22,9,33,6,103,78,13,23,7,20,12,79,10
22100140,85,31,24,7,21,9,109,90,35,11,11,31,17,126,36
22000666,90,55,23,13,25,5,112,87,30,27,10,25,11,116,35
20700497,78,18,38,5,28,6,112,89,25,17,13,19,22,96,22
21000909,74,21,27,5,34,5,120,79,17,23,6,20,13,80,25
28600207,95,2,36,18,24,0,107,82,5,34,9,22,21,104,1
20100847,91,16,20,23,21,4,95,75,20,26,11,14,16,79,16
29500633,87,24,28,13,22,4,113,86,16,26,15,22,16,119,10
22000761,88,29,31,19,27,5,119,89,35,17,10,27,12,109,35
21400003,79,10,39,11,16,3,90,73,29,50,14,22,14,108,29
21100510,84,20,29,16,23,7,103,85,13,22,13,27,16,96,26
28700067,99,10,37,21,33,6,120,103,3,21,17,32,13,108,2
28900608,91,2,56,16,30,11,135,97,11,46,13,20,14,129,4
28900155,75,11,23,13,12,3,70,89,11,21,14,27,9,117,4
21100683,85,8,11,9,23,3,82,82,16,23,12,20,14,94,26
