,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__C,param_model__penalty,param_model__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
61,5.762975788116455,0.726490401674946,0.0,0.0,0.6,1000,,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,213,,,,,,,,213
62,6.178893756866455,0.8784886360189162,0.0,0.0,0.6,1000,,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,215,,,,,,,,215
63,6.821964263916016,1.2442939864910587,0.0,0.0,0.6,1000,,sag,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,230,,,,,,,,230
64,6.820045375823975,0.9326529757450004,0.4404792785644531,0.1591622933152861,0.7,0.001,l2,lbfgs,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8341456422018348,0.8278136200716846,0.839426523297491,0.8378494623655914,0.8368458781362007,0.8352162252145605,0.004080711393229817,129,0.8173017507723996,0.8128992375849989,0.821273964131107,0.8238115095913261,0.8195504227675809,0.8189673769694824,0.0037073584615677437,131
65,8.762087440490722,1.4612226195056224,0.40085611343383787,0.2689495028355632,0.7,0.001,l2,newton-cg,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8341456422018348,0.8278136200716846,0.839426523297491,0.8378494623655914,0.8368458781362007,0.8352162252145605,0.004080711393229817,129,0.8173017507723996,0.8128992375849989,0.821273964131107,0.8238115095913261,0.8195504227675809,0.8189673769694824,0.0037073584615677437,131
66,7.223427867889404,0.6668230152693174,0.0,0.0,0.7,0.001,l2,newton-cholesky,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,216,,,,,,,,216
67,7.578871822357177,1.9111038484186096,0.519381332397461,0.17043511520750895,0.7,0.001,l2,sag,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.8338589449541285,0.8278136200716846,0.839426523297491,0.8378494623655914,0.8368458781362007,0.8351588857650192,0.004097332059524376,135,0.8172264578611168,0.8127703398558187,0.8211415619204616,0.8238115095913261,0.8195504227675809,0.8189000583992609,0.0037401618372008855,137
68,6.438673877716065,1.1103522411720876,0.0,0.0,0.7,0.001,,lbfgs,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,217,,,,,,,,217
69,5.678997421264649,0.6615008241417234,0.0,0.0,0.7,0.001,,newton-cg,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,218,,,,,,,,218
70,7.038453674316406,0.7382944366419445,0.0,0.0,0.7,0.001,,newton-cholesky,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,219,,,,,,,,219
71,6.980993986129761,0.9564625419654765,0.0,0.0,0.7,0.001,,sag,"{'corr_selector__threshold': 0.7, 'model__C': 0.001, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,220,,,,,,,,220
72,7.176589727401733,0.9572069086471149,0.3600183010101318,0.0996143469328113,0.7,0.1,l2,lbfgs,"{'corr_selector__threshold': 0.7, 'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8480504587155964,0.8422939068100358,0.8461648745519713,0.8496057347670251,0.8547670250896058,0.8481763999868468,0.0041023202925448725,85,0.8644495412844037,0.8574031890660593,0.8602003642987249,0.8693234476367007,0.869894446994034,0.8642541978559845,0.004917677311153741,100
