fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
32,80,9,28,17,25,15,32,47,18,8,3,25,21,90,-15,38,86,17,40,12,22,11,32,43,25,19,2,17,27,105,0,36
46,88,18,34,10,12,15,33,48,20,6,4,11,19,120,28,35,73,11,27,11,18,8,25,33,20,4,1,16,16,92,0,31
36,72,6,15,27,38,8,25,33,28,10,7,12,22,105,5,37,74,7,22,19,24,8,26,34,22,7,5,19,28,100,0,23
36,77,9,29,20,22,8,29,37,26,6,10,14,17,101,9,37,86,3,17,15,20,15,26,41,16,7,1,14,19,92,0,28
38,82,4,12,23,28,11,27,38,21,9,3,18,30,103,-3,38,89,2,5,28,36,16,30,46,17,8,1,15,22,106,1,4
44,84,12,22,12,14,12,35,47,25,5,6,18,16,112,24,36,90,6,20,10,17,9,23,32,19,11,6,13,15,88,0,25
48,90,2,4,21,27,11,37,48,28,1,5,13,23,119,12,44,94,2,11,17,27,11,25,36,31,6,4,11,23,107,1,4
38,81,10,25,17,23,10,30,40,21,8,6,14,20,103,-7,40,85,12,19,18,25,12,33,45,23,7,6,15,18,110,0,30
48,90,9,26,14,20,15,33,48,29,9,6,20,19,119,20,42,91,3,12,12,15,13,24,37,19,9,2,17,18,99,0,14
38,81,3,11,23,27,14,28,42,17,8,2,11,24,102,5,39,77,7,22,12,21,7,27,34,24,5,7,13,23,97,0,28
33,80,7,31,21,29,11,38,49,17,4,0,14,19,94,-8,36,85,9,32,21,27,11,34,45,19,9,6,7,20,102,0,36
36,92,6,18,35,42,11,42,53,16,8,9,12,22,113,1,42,95,8,26,20,29,12,39,51,20,4,6,15,28,112,0,28
45,80,8,20,24,29,9,37,46,28,2,3,14,19,122,12,43,89,11,31,13,17,6,26,32,33,9,5,9,19,110,0,33
33,76,11,29,15,19,10,34,44,28,10,8,14,22,92,33,23,74,0,10,13,25,14,32,46,10,6,4,21,23,59,0,24
43,87,2,6,27,32,13,31,44,28,6,10,13,20,115,6,43,86,3,7,20,26,11,29,40,28,8,4,15,28,109,0,6
41,79,6,15,18,22,8,31,39,29,9,6,14,18,106,9,38,81,6,13,15,20,11,22,33,25,8,5,14,17,97,0,25
33,78,6,23,18,26,15,38,53,22,6,5,14,24,90,-2,31,80,4,15,26,33,13,27,40,18,5,3,11,25,92,0,21
52,80,7,14,20,25,4,29,33,28,9,5,11,20,131,18,39,90,15,33,20,26,18,20,38,22,6,1,15,19,113,0,24
44,76,2,11,30,32,9,30,39,32,8,4,26,19,120,3,50,101,7,17,10,13,18,18,36,21,13,3,19,27,117,0,15
40,84,3,8,6,6,9,33,42,28,15,5,17,23,89,13,26,70,3,10,21,32,13,29,42,19,10,6,20,11,76,0,12
